TAIP (ms),Respiratory Rate (breaths/min),I:E Ratio,Target Peak Pressure (cm H2O),Observed Peak Pressure (cm H2O),PEEP (cm H2O),Lung Compliance (mL / cm H2O),Airway Resistance (cm H2O / (L/s) ),Tidal Volume (mL),,I am working on the scopes tonight
0,20,2,20,14.9566,5,10,1,149.5668,,
0,30,2,20,14.9772,5,10,1,149.7573,,
0,12,2,20,14.5412,5,25,1,363.4004,,
0,20,2,20,14.2173,5,25,1,354.6366,,
0,30,2,20,13.2946,5,25,1,328.6002,,
0,12,2,20,13.8218,5,50,1,688.0855,,
0,20,2,20,12.0816,5,50,1,590.405,,
0,30,2,20,9.7726,5,50,1,465.4839,,
0,12,2,20,11.2308,5,100,1,1.09E+03,,
0,20,2,20,8.376,5,100,1,779.3571,,
0,30,2,20,6.4923,5,100,1,577.4269,,
0,12,2,20,7.5894,5,200,1,1.39E+03,,
0,20,2,20,5.7224,5,200,1,989.3163,,
0,30,2,20,5.6827,5,200,1,976.0441,,
0,12,2,20,14.9154,5,10,3,149.1469,,
0,20,2,20,14.915,5,10,3,149.1301,,
0,30,2,20,14.8987,5,10,3,148.8486,,
0,12,2,20,14.4138,5,25,3,359.7321,,
0,20,2,20,13.9645,5,25,3,345.4003,,
0,30,2,20,12.9886,5,25,3,311.4871,,
0,12,2,20,13.61,5,50,3,667.9074,,
0,20,2,20,11.9408,5,50,3,553.4197,,
0,30,2,20,9.9659,5,50,3,428.9371,,
0,12,2,20,11.1958,5,100,3,1.01E+03,,
0,20,2,20,8.8495,5,100,3,717.0733,,
0,30,2,20,7.4736,5,100,3,548.2913,,
0,12,2,20,8.2573,5,200,3,1.28E+03,,
0,20,2,20,7.0497,5,200,3,998.432,,
0,30,2,20,7.3417,5,200,3,1.05E+03,,
0,12,2,20,14.8932,5,10,5,148.9084,,
0,20,2,20,14.859,5,10,5,148.5007,,
0,30,2,20,14.7768,5,10,5,147.2815,,
0,12,2,20,14.3463,5,25,5,357.1628,,
0,20,2,20,13.7989,5,25,5,336.6685,,
0,30,2,20,12.8171,5,25,5,296.032,,
0,12,2,20,13.4296,5,50,5,645.2185,,
0,20,2,20,11.8665,5,50,5,518.2323,,
0,30,2,20,10.2063,5,50,5,396.9105,,
0,12,2,20,11.2234,5,100,5,938.6907,,
0,20,2,20,9.3182,5,100,5,666.9166,,
0,30,2,20,8.3312,5,100,5,533.6797,,
0,12,2,20,8.8579,5,200,5,1.20E+03,,
0,20,2,20,8.2975,5,200,5,1.05E+03,,
0,30,2,20,8.6089,5,200,5,1.11E+03,,
0,12,2,20,14.6187,5,10,10,146.0571,,
0,20,2,20,14.4721,5,10,10,144.1231,,
0,30,2,20,14.2315,5,10,10,139.7219,,
0,12,2,20,14.1677,5,25,10,347.9966,,
0,20,2,20,13.4759,5,25,10,311.4399,,
0,30,2,20,12.5827,5,25,10,259.2083,,
0,12,2,20,13.1115,5,50,10,583.8381,,
0,20,2,20,11.8767,5,50,10,441.8276,,
0,30,2,20,10.8637,5,50,10,338.4418,,
0,12,2,20,11.4569,5,100,10,793.8059,,
0,20,2,20,10.4056,5,100,10,593.5398,,
0,30,2,20,10.0784,5,100,10,548.3657,,
0,12,2,20,10.1128,5,200,10,1.09E+03,,
0,20,2,20,10.4493,5,200,10,1.15E+03,,
0,30,2,20,10.6754,5,200,10,1.24E+03,,
0,12,2,20,14.5364,5,10,20,144.698,,
0,20,2,20,14.2699,5,10,20,139.0988,,
0,30,2,20,13.8944,5,10,20,127.6919,,
0,12,2,20,13.8564,5,25,20,320.0841,,
0,20,2,20,13.1554,5,25,20,259.194,,
0,30,2,20,12.5549,5,25,20,202.8462,,
0,12,2,20,12.881,5,50,20,470.866,,
0,20,2,20,12.2184,5,50,20,347.2847,,
0,30,2,20,11.9048,5,50,20,297.1813,,
0,12,2,20,12.0329,5,100,20,635.373,,
0,20,2,20,11.8409,5,100,20,581.5532,,
0,30,2,20,12.4242,5,100,20,634.0388,,
0,12,2,20,11.8912,5,200,20,1.04E+03,,
0,20,2,20,12.3476,5,200,20,1.20E+03,,
0,30,2,20,12.5678,5,200,20,1.34E+03,,
250,12,2,20,14.9306,5,10,1,149.3055,,
250,20,2,20,14.9471,5,10,1,149.4688,,
250,30,2,20,14.9072,5,10,1,148.9887,,
250,12,2,20,14.5145,5,25,1,362.7023,,
250,20,2,20,14.0347,5,25,1,349.5153,,
250,30,2,20,12.4154,5,25,1,304.1252,,
250,12,2,20,13.6788,5,50,1,680.054,,
250,20,2,20,11.4204,5,50,1,554.1808,,
250,30,2,20,8.6551,5,50,1,405.579,,
250,12,2,20,10.8321,5,100,1,1.04E+03,,
250,20,2,20,7.7194,5,100,1,709.0157,,
250,30,2,20,5.6423,5,100,1,487.3177,,
250,12,2,20,7.2314,5,200,1,1.31E+03,,
250,20,2,20,5.2669,5,200,1,893.2538,,
250,30,2,20,5.1953,5,200,1,873.6846,,
250,12,2,20,14.909,5,10,3,149.0803,,
250,20,2,20,14.8954,5,10,3,148.9136,,
250,30,2,20,14.791,5,10,3,147.4219,,
250,12,2,20,14.3763,5,25,3,358.6307,,
250,20,2,20,13.7451,5,25,3,337.8263,,
250,30,2,20,12.1842,5,25,3,284.4608,,
250,12,2,20,13.4514,5,50,3,656.862,,
250,20,2,20,11.359,5,50,3,515.8835,,
250,30,2,20,9.0088,5,50,3,370.7438,,
250,12,2,20,10.8487,5,100,3,966.2491,,
250,20,2,20,8.2975,5,100,3,649.8224,,
250,30,2,20,6.7528,5,100,3,463.8344,,
250,12,2,20,7.9559,5,200,3,1.21E+03,,
250,20,2,20,6.8012,5,200,3,932.6551,,
250,30,2,20,6.8798,5,200,3,941.9997,,
250,12,2,20,14.8843,5,10,5,148.8134,,
250,20,2,20,14.828,5,10,5,148.1245,,
250,30,2,20,14.6313,5,10,5,144.9732,,
250,12,2,20,14.2981,5,25,5,355.5311,,
250,20,2,20,13.5619,5,25,5,326.8467,,
250,30,2,20,12.0912,5,25,5,267.4895,,
250,12,2,20,13.2669,5,50,5,631.6252,,
250,20,2,20,11.3578,5,50,5,480.3169,,
250,30,2,20,9.3708,5,50,5,340.776,,
250,12,2,20,10.923,5,100,5,895.3427,,
250,20,2,20,8.8431,5,100,5,602.7641,,
250,30,2,20,7.7437,5,100,5,456.8756,,
250,12,2,20,8.6043,5,200,5,1.13E+03,,
250,20,2,20,8.1479,5,200,5,990.9381,,
250,30,2,20,8.1954,5,200,5,1.01E+03,,
250,12,2,20,14.6039,5,10,10,145.8779,,
250,20,2,20,14.412,5,10,10,143.154,,
250,30,2,20,14.0183,5,10,10,134.9196,,
250,12,2,20,14.0982,5,25,10,344.6422,,
250,20,2,20,13.2393,5,25,10,297.4893,,
250,30,2,20,12.0359,5,25,10,229.7007,,
250,12,2,20,12.9616,5,50,10,566.1858,,
250,20,2,20,11.5189,5,50,10,405.3547,,
250,30,2,20,10.277,5,50,10,288.4539,,
250,12,2,20,11.2505,5,100,10,753.3527,,
250,20,2,20,10.0672,5,100,10,538.0673,,
250,30,2,20,9.9798,5,100,10,501.9523,,
250,12,2,20,9.9337,5,200,10,1.03E+03,,
250,20,2,20,10.2443,5,200,10,1.08E+03,,
250,30,2,20,10.3387,5,200,10,1.13E+03,,
250,12,2,20,14.5088,5,10,20,144.2279,,
250,20,2,20,14.1728,5,10,20,136.3603,,
250,30,2,20,13.6494,5,10,20,119.1205,,
250,12,2,20,13.7738,5,25,20,313.4221,,
250,20,2,20,12.9725,5,25,20,242.279,,
250,30,2,20,12.2515,5,25,20,176.3105,,
250,12,2,20,12.7744,5,50,20,451.3478,,
250,20,2,20,12.0312,5,50,20,316.9151,,
250,30,2,20,11.6448,5,50,20,258.4276,,
250,12,2,20,11.931,5,100,20,602.7983,,
250,20,2,20,11.8107,5,100,20,543.7311,,
250,30,2,20,12.2331,5,100,20,570.6975,,
250,12,2,20,11.8831,5,200,20,996.7702,,
250,20,2,20,12.2103,5,200,20,1.12E+03,,
250,30,2,20,12.3333,5,200,20,1.21E+03,,
500,12,2,20,14.9216,5,10,1,149.2141,,
500,20,2,20,14.914,5,10,1,149.121,,
500,30,2,20,14.3931,5,10,1,143.2217,,
500,12,2,20,14.4753,5,25,1,361.6676,,
500,20,2,20,13.6534,5,25,1,338.7335,,
500,30,2,20,10.7371,5,25,1,258.8108,,
500,12,2,20,13.4769,5,50,1,668.6431,,
500,20,2,20,10.5395,5,50,1,506.6478,,
500,30,2,20,7.2294,5,50,1,329.5091,,
500,12,2,20,10.3766,5,100,1,995.0142,,
500,20,2,20,6.9814,5,100,1,630.2123,,
500,30,2,20,4.7218,5,100,1,390.1493,,
500,12,2,20,6.8533,5,200,1,1.23E+03,,
500,20,2,20,4.9315,5,200,1,821.0753,,
500,30,2,20,4.7202,5,200,1,775.1101,,
500,12,2,20,14.8979,5,10,3,148.9645,,
500,20,2,20,14.8462,5,10,3,148.3341,,
500,30,2,20,14.2235,5,10,3,139.5406,,
500,12,2,20,14.3215,5,25,3,356.9754,,
500,20,2,20,13.3422,5,25,3,323.6722,,
500,30,2,20,10.7165,5,25,3,238.6306,,
500,12,2,20,13.2379,5,50,3,641.8754,,
500,20,2,20,10.5894,5,50,3,467.984,,
500,30,2,20,7.8166,5,50,3,298.4063,,
500,12,2,20,10.4512,5,100,3,916.9785,,
500,20,2,20,7.6785,5,100,3,574.8717,,
500,30,2,20,6.0319,5,100,3,379.2336,,
500,12,2,20,7.6369,5,200,3,1.13E+03,,
500,20,2,20,6.6318,5,200,3,880.4998,,
500,30,2,20,6.4313,5,200,3,840.4485,,
500,12,2,20,14.8701,5,10,5,148.6596,,
500,20,2,20,14.7584,5,10,5,147.1953,,
500,30,2,20,14.0352,5,10,5,135.0982,,
500,12,2,20,14.2287,5,25,5,353.0856,,
500,20,2,20,13.1616,5,25,5,310.022,,
500,30,2,20,10.8152,5,25,5,222.029,,
500,12,2,20,13.055,5,50,5,613.8404,,
500,20,2,20,10.6891,5,50,5,432.9028,,
500,30,2,20,8.3659,5,50,5,272.3581,,
500,12,2,20,10.578,5,100,5,846.7494,,
500,20,2,20,8.3217,5,100,5,532.1212,,
500,30,2,20,7.3974,5,100,5,401.0141,,
500,12,2,20,8.3366,5,200,5,1.06E+03,,
500,20,2,20,7.9217,5,200,5,923.2059,,
500,30,2,20,7.7781,5,200,5,902.3161,,
500,12,2,20,14.5808,5,10,10,145.5909,,
500,20,2,20,14.2942,5,10,10,140.9433,,
500,30,2,20,13.4391,5,10,10,121.3214,,
500,12,2,20,14.0034,5,25,10,339.8659,,
500,20,2,20,12.8872,5,25,10,276.7457,,
500,30,2,20,11.1532,5,25,10,187.2143,,
500,12,2,20,12.776,5,50,10,544.4198,,
500,20,2,20,11.0571,5,50,10,361.3209,,
500,30,2,20,9.5789,5,50,10,230.6992,,
500,12,2,20,11.0132,5,100,10,708.5004,,
500,20,2,20,9.7001,5,100,10,479.2354,,
500,30,2,20,9.6862,5,100,10,441.7475,,
500,12,2,20,9.7479,5,200,10,974.7111,,
500,20,2,20,10.0265,5,200,10,999.7014,,
500,30,2,20,9.977,5,200,10,1.01E+03,,
500,12,2,20,14.4675,5,10,20,143.4659,,
500,20,2,20,14.0077,5,10,20,131.146,,
500,30,2,20,13.2026,5,10,20,102.1077,,
500,12,2,20,13.6691,5,25,20,304.6185,,
500,20,2,20,12.7273,5,25,20,219.7238,,
500,30,2,20,11.8188,5,25,20,141.2987,,
500,12,2,20,12.6482,5,50,20,428.3768,,
500,20,2,20,11.8071,5,50,20,281.551,,
500,30,2,20,11.4361,5,50,20,218.46,,
500,12,2,20,11.8174,5,100,20,567.0533,,
500,20,2,20,11.8941,5,100,20,508.3397,,
500,30,2,20,11.9933,5,100,20,501.328,,
500,12,2,20,11.8453,5,200,20,950.7646,,
500,20,2,20,12.0521,5,200,20,1.04E+03,,
500,30,2,20,12.0675,5,200,20,1.07E+03,,
1000,12,2,20,14.875,5,10,1,148.7401,,
1000,20,2,20,13.1001,5,10,1,129.6424,,
1000,30,2,20,8.1686,5,10,1,80.353,,
1000,12,2,20,14.3048,5,25,1,357.0557,,
1000,20,2,20,10.8994,5,25,1,263.8211,,
1000,30,2,20,6.0958,5,25,1,144.1749,,
1000,12,2,20,12.7365,5,50,1,626.7838,,
1000,20,2,20,7.8838,5,50,1,365.4999,,
1000,30,2,20,4.1082,5,50,1,181.2803,,
1000,12,2,20,9.2727,5,100,1,876.5094,,
1000,20,2,20,5.2067,5,100,1,443.2724,,
1000,30,2,20,3.3888,5,100,1,280.3905,,
1000,12,2,20,6.0299,5,200,1,1.05E+03,,
1000,20,2,20,4.3743,5,200,1,701.7975,,
1000,30,2,20,3.6772,5,200,1,625.3023,,
1000,12,2,20,14.8417,5,10,3,148.3649,,
1000,20,2,20,13.1045,5,10,3,126.8109,,
1000,30,2,20,8.1673,5,10,3,77.4753,,
1000,12,2,20,14.0955,5,25,3,349.6989,,
1000,20,2,20,10.8948,5,25,3,246.25,,
1000,30,2,20,6.1592,5,25,3,129.7099,,
1000,12,2,20,12.5332,5,50,3,592.8603,,
1000,20,2,20,8.3128,5,50,3,332.8756,,
1000,30,2,20,4.6076,5,50,3,161.9877,,
1000,12,2,20,9.4982,5,100,3,800.4822,,
1000,20,2,20,6.1664,5,100,3,400.656,,
1000,30,2,20,4.4311,5,100,3,288.9155,,
1000,12,2,20,6.9472,5,200,3,968.6261,,
1000,20,2,20,5.9623,5,200,3,731.9921,,
1000,30,2,20,4.8124,5,200,3,685.0751,,
1000,12,2,20,14.8011,5,10,5,147.8753,,
1000,20,2,20,13.0848,5,10,5,123.7082,,
1000,30,2,20,8.1204,5,10,5,74.0995,,
1000,12,2,20,13.9599,5,25,5,342.8467,,
1000,20,2,20,10.978,5,25,5,231.6163,,
1000,30,2,20,6.3049,5,25,5,118.7754,,
1000,12,2,20,12.4027,5,50,5,560.2171,,
1000,20,2,20,8.7095,5,50,5,304.4962,,
1000,30,2,20,5.0666,5,50,5,147.7496,,
1000,12,2,20,9.7549,5,100,5,733.7296,,
1000,20,2,20,7.0256,5,100,5,372.9403,,
1000,30,2,20,5.2566,5,100,5,300.2199,,
1000,12,2,20,7.7649,5,200,5,910.7183,,
1000,20,2,20,7.2244,5,200,5,766.1555,,
1000,30,2,20,5.6514,5,200,5,736.922,,
1000,12,2,20,14.4766,5,10,10,144.1424,,
1000,20,2,20,12.7995,5,10,10,113.547,,
1000,30,2,20,7.8124,5,10,10,63.9745,,
1000,12,2,20,13.6832,5,25,10,322.4764,,
1000,20,2,20,11.2072,5,25,10,199.5562,,
1000,30,2,20,6.6363,5,25,10,97.0055,,
1000,12,2,20,12.263,5,50,10,486.2146,,
1000,20,2,20,9.6019,5,50,10,249.6196,,
1000,30,2,20,6.2349,5,50,10,141.509,,
1000,12,2,20,10.4493,5,100,10,607.1618,,
1000,20,2,20,8.9643,5,100,10,371.4626,,
1000,30,2,20,6.6681,5,100,10,332.5498,,
1000,12,2,20,9.3965,5,200,10,857.2085,,
1000,20,2,20,9.3208,5,200,10,832.4794,,
1000,30,2,20,6.9805,5,200,10,821.8238,,
1000,12,2,20,14.3115,5,10,20,139.9496,,
1000,20,2,20,12.8136,5,10,20,99.7869,,
1000,30,2,20,7.8744,5,10,20,52.5262,,
1000,12,2,20,13.3731,5,25,20,278.18,,
1000,20,2,20,11.6381,5,25,20,152.1127,,
1000,30,2,20,7.1871,5,25,20,74.2361,,
1000,12,2,20,12.3325,5,50,20,372.2422,,
1000,20,2,20,10.9297,5,50,20,196.6507,,
1000,30,2,20,7.6301,5,50,20,155.6241,,
1000,12,2,20,11.5574,5,100,20,488.3435,,
1000,20,2,20,11.336,5,100,20,409.5897,,
1000,30,2,20,7.9203,5,100,20,386.4842,,
1000,12,2,20,11.7071,5,200,20,849.5956,,
1000,20,2,20,11.3421,5,200,20,853.5717,,
1000,30,2,20,8.0092,5,200,20,848.8938,,
2000,12,2,20,11.2624,5,10,1,111.9387,,
2000,20,2,20,6.3157,5,10,1,62.4863,,
2000,30,2,20,3.8773,5,10,1,38.1194,,
2000,12,2,20,10.219,5,25,1,251.0093,,
2000,20,2,20,5.232,5,25,1,126.3903,,
2000,30,2,20,2.744,5,25,1,64.4156,,
2000,12,2,20,8.6037,5,50,1,412.775,,
2000,20,2,20,3.9458,5,50,1,181.6186,,
2000,30,2,20,1.8953,5,50,1,81.8488,,
2000,12,2,20,6.1139,5,100,1,556.8124,,
2000,20,2,20,2.7219,5,100,1,229.6186,,
2000,30,2,20,2.2526,5,100,1,196.2517,,
2000,12,2,20,4.0575,5,200,1,670.2547,,
2000,20,2,20,3.0432,5,200,1,520.3854,,
2000,30,2,20,2.838,5,200,1,523.7084,,
2000,12,2,20,11.2645,5,10,3,110.5141,,
2000,20,2,20,6.3186,5,10,3,61.0834,,
2000,30,2,20,3.8665,5,10,3,36.5834,,
2000,12,2,20,10.1498,5,25,3,240.0887,,
2000,20,2,20,5.1698,5,25,3,115.9156,,
2000,30,2,20,2.7528,5,25,3,56.6454,,
2000,12,2,20,8.6964,5,50,3,383.2398,,
2000,20,2,20,4.1283,5,50,3,161.676,,
2000,30,2,20,2.3206,5,50,3,81.3221,,
2000,12,2,20,6.5658,5,100,3,501.773,,
2000,20,2,20,3.5661,5,100,3,240.8543,,
2000,30,2,20,2.7824,5,100,3,207.665,,
2000,12,2,20,5.0492,5,200,3,627.632,,
2000,20,2,20,3.8963,5,200,3,554.0718,,
2000,30,2,20,3.3828,5,200,3,579.4555,,
2000,12,2,20,11.257,5,10,5,108.9812,,
2000,20,2,20,6.2973,5,10,5,59.4178,,
2000,30,2,20,3.7784,5,10,5,34.2318,,
2000,12,2,20,10.151,5,25,5,230.9691,,
2000,20,2,20,5.1959,5,25,5,108.11,,
2000,30,2,20,2.8198,5,25,5,51.3142,,
2000,12,2,20,8.7986,5,50,5,356.2394,,
2000,20,2,20,4.2988,5,50,5,145.2111,,
2000,30,2,20,2.7863,5,50,5,88.0348,,
2000,12,2,20,6.986,5,100,5,455.1983,,
2000,20,2,20,4.1989,5,100,5,248.4559,,
2000,30,2,20,3.176,5,100,5,222.0437,,
2000,12,2,20,6.1547,5,200,5,654.9046,,
2000,20,2,20,4.5289,5,200,5,586.2615,,
2000,30,2,20,3.7309,5,200,5,624.4689,,
2000,12,2,20,11.0189,5,10,10,102.919,,
2000,20,2,20,6.0189,5,10,10,52.9678,,
2000,30,2,20,3.5241,5,10,10,28.2467,,
2000,12,2,20,10.1695,5,25,10,209.3199,,
2000,20,2,20,5.2828,5,25,10,91.6595,,
2000,30,2,20,2.9912,5,25,10,42.0636,,
2000,12,2,20,9.0596,5,50,10,299.0324,,
2000,20,2,20,4.6912,5,50,10,118.4378,,
2000,30,2,20,3.4039,5,50,10,95.336,,
2000,12,2,20,7.9083,5,100,10,373.6946,,
2000,20,2,20,5.1373,5,100,10,261.307,,
2000,30,2,20,3.7889,5,100,10,261.2285,,
2000,12,2,20,7.9092,5,200,10,669.1169,,
2000,20,2,20,5.4491,5,200,10,640.1834,,
2000,30,2,20,4.1627,5,200,10,689.1674,,
2000,12,2,20,11.0169,5,10,20,95.572,,
2000,20,2,20,6.0266,5,10,20,46.1828,,
2000,30,2,20,3.5645,5,10,20,22.9705,,
2000,12,2,20,10.2494,5,25,20,172.6545,,
2000,20,2,20,5.4761,5,25,20,69.6424,,
2000,30,2,20,3.6995,5,25,20,45.4598,,
2000,12,2,20,9.5244,5,50,20,222.5506,,
2000,20,2,20,5.721,5,50,20,124.0989,,
2000,30,2,20,3.989,5,50,20,114.5568,,
2000,12,2,20,9.3078,5,100,20,329.3852,,
2000,20,2,20,6.0215,5,100,20,297.9277,,
2000,30,2,20,4.3003,5,100,20,319.9808,,
2000,12,2,20,9.5661,5,200,20,633.5283,,
2000,20,2,20,6.1265,5,200,20,642.9126,,
2000,30,2,20,4.3915,5,200,20,696.1895,,
2000,12,2,20,11.2624,5,10,1,111.9387,,